Unified School District Name,Unified School District Code,Washington School District Code,Educational Service District Code,Estimated Total Population 2000,Estimated Total Population 2001,Estimated Total Population 2002,Estimated Total Population 2003,Estimated Total Population 2004,Estimated Total Population 2005,Estimated Total Population 2006,Estimated Total Population 2007,Estimated Total Population 2008,Estimated Total Population 2009,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Numeric Change in Population 2000 to 2010,Percent Change in Population 2000 to 2010,Numeric Change in Population 2010 to 2016,Percent Change in Population 2010 to 2016,SAEP Version
Central Kitsap School District,1080,18401,114,67466,67610,67981,68362,68329,67651,68438,68993,69266,69239,68814,69460,68958,69344,69853,70333,71883,1348,2.00%,3069,4.46%,"September 21, 2016"
Central Valley School District,1110,32356,101,62695,64053,65478,66057,67071,68600,70472,72158,73687,75194,76487,76919,78185,79366,80561,82036,83297,13792,22.00%,6810,8.9%,"September 21, 2016"
Centralia School District,1140,21401,113,21035,21245,21444,21514,21697,21894,22257,22536,22763,22884,22909,23008,23075,22980,22975,23060,23093,1874,8.91%,184,0.8%,"September 21, 2016"
Chehalis School District,1170,21302,113,13220,13368,13506,13562,13689,13824,14068,14256,14412,14499,14527,14611,14700,14700,14744,14781,14872,1307,9.88%,345,2.37%,"September 21, 2016"
Cheney School District,1230,32360,101,25198,25977,26784,27241,27875,28722,29714,30631,31482,32324,33075,33635,34271,35060,35594,36212,36692,7877,31.26%,3617,10.94%,"September 21, 2016"
Chewelah School District,1260,33036,101,5367,5426,5486,5555,5628,5713,5812,5889,5983,6036,6060,6053,6075,6075,6071,6118,6121,693,12.91%,61,1.01%,"September 21, 2016"
Chimacum School District,1290,16049,114,9555,9738,9961,10083,10277,10553,10783,10978,11171,11268,11350,11397,11433,11446,11584,11644,11720,1795,18.79%,370,3.26%,"September 21, 2016"
Clarkston School District,1320,2250,123,17753,17816,17797,17824,17863,17980,18162,18343,18416,18456,18461,18483,18519,18589,18708,18755,18841,708,3.99%,380,2.06%,"September 21, 2016"
Cle Elum-Roslyn School District,1350,19404,105,6295,6369,6443,6591,6801,6933,6997,7142,7296,7370,7379,7495,7632,7783,7909,8080,8300,1084,17.22%,921,12.48%,"September 21, 2016"
Clover Park School District,1410,27400,121,82166,81534,81286,80918,80640,80511,80775,80573,79811,78579,76963,80959,81123,80395,80753,79912,80931,-5203,(  6.333%),3968,5.16%,"September 21, 2016"
Colfax School District,1440,38300,101,4116,4042,4036,3980,3999,4026,4008,3953,4020,3965,3985,3979,3962,3964,3950,3972,4000,-131,(  3.180%),15,0.38%,"September 21, 2016"
College Place School District,1470,36250,123,11085,11178,11313,11484,11716,11997,12149,12366,12537,12748,12899,12962,13042,13179,13367,13375,13541,1814,16.37%,642,4.97%,"September 21, 2016"
Colton School District,1500,38306,101,1160,1137,1134,1116,1120,1126,1119,1102,1119,1102,1106,1117,1114,1137,1156,1158,1170,-54,(  4.617%),64,5.83%,"September 21, 2016"
Columbia School District (Stevens),1560,33206,101,1078,1085,1093,1102,1112,1125,1140,1151,1165,1171,1172,1175,1178,1181,1186,1192,1192,94,8.74%,20,1.73%,"September 21, 2016"
Columbia School District (Walla Walla),1590,36400,123,3864,3837,3824,3825,3844,3880,3873,3887,3887,3899,3892,3908,3942,3957,3987,3912,3889,28,0.71%,-3,,"September 21, 2016"
Colville School District,1630,33115,101,11742,11701,11665,11649,11640,11655,11697,11695,11726,11675,11571,11584,11609,11615,11646,11652,11642,-171,(  1.457%),71,0.61%,"September 21, 2016"
Concrete School District,1660,29011,189,4663,4676,4703,4694,4731,4754,4803,4838,4860,4868,4840,4851,4864,4869,4904,4957,5022,177,3.79%,182,3.77%,"September 21, 2016"
Conway School District,1680,29317,189,2888,2906,2934,2938,2972,2996,3038,3069,3094,3110,3102,3120,3134,3112,3128,3161,3216,214,7.41%,114,3.67%,"September 21, 2016"
Cosmopolis School District,1710,14099,113,1910,1948,1957,1957,1969,1985,2001,2008,2010,2012,2013,2013,2008,2017,2010,2002,2007,103,5.37%,-6,,"September 21, 2016"
Coulee-Hartline School District,3440,13151,171,1387,1381,1372,1359,1359,1354,1360,1368,1381,1386,1384,1399,1416,1449,1452,1467,1473,-3,(  0.232%),89,6.43%,"September 21, 2016"
Coupeville School District,1800,15204,189,8461,8562,8732,8830,8981,9190,9380,9546,9624,9686,9696,9753,9868,9984,10073,10175,10200,1235,14.60%,504,5.2%,"September 21, 2016"
Crescent School District,1830,5313,114,2402,2416,2435,2448,2472,2501,2542,2569,2592,2601,2609,2616,2633,2648,2648,2651,2694,207,8.63%,85,3.24%,"September 21, 2016"
Creston School District,1860,22073,101,896,930,949,959,995,1023,1051,1083,1114,1135,1151,1182,1198,1224,1265,1291,1301,255,28.44%,150,13.03%,"September 21, 2016"
Curlew School District,1890,10050,101,1631,1628,1617,1601,1575,1564,1556,1541,1530,1518,1497,1506,1511,1512,1511,1524,1523,-134,(  8.204%),26,1.73%,"September 21, 2016"
Cusick School District,1920,26059,101,1838,1862,1873,1885,1891,1909,1924,1955,1974,1984,1989,1986,2008,2009,2012,2020,2025,151,8.19%,36,1.83%,"September 21, 2016"
Damman School District,1950,19007,105,634,644,654,671,695,711,720,738,756,766,769,777,780,791,791,800,812,135,21.38%,43,5.64%,"September 21, 2016"
Darrington School District,1980,31330,189,2908,2943,2976,3005,3028,3066,3115,3156,3184,3196,3210,3230,3238,3261,3212,3248,3286,302,10.38%,76,2.36%,"September 21, 2016"
Davenport School District,2010,22207,101,2684,2741,2752,2740,2802,2840,2880,2929,2977,2996,3002,3003,3010,2983,2981,2978,2966,318,11.85%,-36,,"September 21, 2016"
Dayton School District,2040,7002,123,3742,3792,3797,3798,3812,3829,3827,3800,3808,3810,3797,3818,3820,3823,3806,3818,3783,55,1.47%,-14,,"September 21, 2016"
Deer Park School District,2070,32414,101,8763,8964,9173,9303,9477,9708,9980,10224,10460,10673,10849,10918,11007,11140,11243,11361,11467,2086,23.81%,618,5.69%,"September 21, 2016"
Dieringer School District,2130,27343,121,6391,6623,6887,7142,7406,7687,8009,8289,8513,8682,8802,9004,9190,9443,9530,9644,9769,2411,37.73%,967,10.98%,"September 21, 2016"
Dixie School District,2160,36101,123,525,518,513,510,509,510,506,504,501,499,495,499,504,512,516,505,503,-30,(  5.702%),8,1.68%,"September 21, 2016"
East Valley School District (Spokane),2280,32361,101,23238,23488,23763,23733,23864,24178,24611,24977,25287,25588,25817,25857,26053,26198,26367,26478,26630,2579,11.10%,813,3.15%,"September 21, 2016"
East Valley School District (Yakima),5370,39090,105,12360,12656,12888,13269,13586,13895,14239,14585,14938,15264,15549,15742,15926,16048,16240,16922,17586,3189,25.80%,2037,13.1%,"September 21, 2016"
Eastmont School District,2310,9206,171,24588,24838,24965,25562,25949,26430,27308,28031,28804,29500,29884,30039,30190,30468,30767,31002,31589,5296,21.54%,1705,5.7%,"September 21, 2016"
Easton School District,2340,19028,105,861,884,906,939,981,1012,1033,1065,1100,1122,1134,1149,1160,1180,1189,1204,1243,273,31.68%,109,9.63%,"September 21, 2016"
Eatonville School District,2370,27404,121,10079,10266,10501,10721,10955,11211,11526,11779,11951,12050,12084,12170,12277,12373,12411,12487,12678,2005,19.89%,594,4.92%,"September 21, 2016"
Edmonds School District,2400,31015,189,140714,142356,143899,145266,146223,148021,150306,152227,153445,153913,154583,155132,156410,157311,160081,164266,168285,13869,9.86%,13702,8.86%,"September 21, 2016"
Ellensburg School District,2460,19401,105,21506,21889,22270,22907,23759,24344,24689,25321,25985,26364,26508,26666,26683,26848,26892,27258,27947,5002,23.26%,1439,5.43%,"September 21, 2016"
Elma School District,2490,14068,113,7989,8188,8277,8331,8434,8553,8674,8761,8823,8881,8932,8914,8935,8940,8967,8966,8878,943,11.81%,-54,,"September 21, 2016"
Endicott School District,2520,38308,101,643,623,615,598,594,590,579,563,565,549,544,547,550,552,557,554,559,-99,( 15.354%),15,2.74%,"September 21, 2016"
Entiat School District,2550,4127,171,2170,2163,2163,2151,2151,2165,2179,2191,2207,2204,2197,2227,2239,2258,2264,2299,2328,27,1.26%,131,5.95%,"September 21, 2016"
Enumclaw School District,1,17216,121,25443,25403,25414,25262,25143,25047,25171,25233,25215,25171,25179,25269,25376,25561,25831,25900,26418,-264,(  1.039%),1239,4.92%,"September 21, 2016"
Ephrata School District,2610,13165,171,10322,10420,10496,10507,10645,10737,10900,11098,11337,11507,11632,11716,11817,11974,12092,12180,12267,1310,12.69%,635,5.46%,"September 21, 2016"
Evaline School District,2640,21036,113,676,691,706,717,732,747,767,785,802,814,823,828,836,834,841,850,855,147,21.82%,32,3.95%,"September 21, 2016"
Everett School District,2670,31002,189,113230,115098,116887,118533,119843,121843,124248,126356,127883,128781,129842,130445,131116,132819,135759,138750,141599,16612,14.67%,11757,9.06%,"September 21, 2016"
Evergreen School District (Clark),2700,6114,112,116477,118550,122186,124844,128178,130826,133772,135995,137707,138861,139009,139200,139874,140768,142793,145093,146950,22532,19.34%,7941,5.71%,"September 21, 2016"
Evergreen School District (Stevens),2730,33205,101,392,395,397,400,404,408,413,417,422,424,424,423,424,429,428,430,435,32,8.05%,11,2.52%,"September 21, 2016"
Federal Way School District,2820,17210,121,123057,123753,124701,124847,125148,125557,127071,128282,129089,129763,130706,130812,131219,131980,133126,133996,137566,7649,6.22%,6860,5.25%,"September 21, 2016"
Ferndale School District,2850,37502,189,25474,26076,26541,26776,27394,28082,28830,29591,29923,30207,30392,30616,30963,31471,32052,32547,33123,4918,19.31%,2731,8.99%,"September 21, 2016"
Fife Public Schools,2880,27417,121,15492,15970,16515,17020,17546,18105,18775,19357,19821,20182,20462,20500,20573,20704,21020,21368,21784,4970,32.08%,1322,6.46%,"September 21, 2016"
Finley School District,2910,3053,123,4819,4829,4847,4886,4933,4964,4980,4994,4997,5039,5080,5130,5159,5201,5227,5163,5171,261,5.42%,91,1.8%,"September 21, 2016"
Franklin Pierce School District,2940,27402,121,43535,44164,45002,45779,46612,47539,48713,49619,50183,50439,50424,50427,50682,50803,50859,51222,51886,6889,15.82%,1462,2.9%,"September 21, 2016"
Freeman School District,2970,32358,101,3515,3592,3674,3708,3767,3854,3961,4057,4145,4231,4305,4314,4348,4387,4405,4408,4431,790,22.49%,126,2.94%,"September 21, 2016"
Garfield School District,3000,38302,101,822,806,804,793,796,800,796,785,797,786,789,791,790,796,800,800,804,-33,(  3.977%),15,1.94%,"September 21, 2016"
Glenwood School District,3030,20401,112,536,528,519,511,505,497,492,484,476,466,457,461,461,464,472,471,472,-79,( 14.748%),15,3.37%,"September 21, 2016"
Goldendale School District,3090,20404,105,6885,6907,6913,6926,6971,6985,7043,7067,7083,7076,7076,7136,7183,7194,7235,7265,7327,191,2.78%,251,3.55%,"September 21, 2016"
Grand Coulee Dam School District,3130,13301,171,4274,4266,4245,4208,4208,4195,4211,4210,4232,4245,4236,4338,4310,4341,4366,4407,4408,-38,(  0.887%),172,4.05%,"September 21, 2016"
Grandview School District,3150,39200,105,12892,13078,13202,13476,13687,13888,14123,14359,14599,14818,14998,15084,15197,15219,15390,15404,15303,2106,16.34%,305,2.03%,"September 21, 2016"
Granger School District,3180,39204,105,5095,5151,5182,5273,5338,5399,5475,5551,5630,5698,5751,5788,5803,5850,6057,6200,6438,656,12.89%,687,11.94%,"September 21, 2016"
Granite Falls School District,3210,31332,189,10494,10792,11084,11362,11607,11920,12272,12597,12864,13067,13285,13408,13517,13585,13727,13992,14156,2791,26.60%,871,6.55%,"September 21, 2016"
Grapeview School District,3240,23054,113,1755,1816,1892,1967,2053,2149,2244,2354,2450,2514,2567,2588,2618,2637,2647,2679,2696,812,46.25%,129,5.03%,"September 21, 2016"
Great Northern School District,3270,32312,101,580,591,603,607,616,628,645,659,672,684,695,700,711,716,721,729,729,115,19.80%,34,4.86%,"September 21, 2016"
Green Mountain School District,3300,6103,112,710,719,738,751,768,781,795,806,813,817,815,817,820,825,828,846,854,105,14.81%,39,4.79%,"September 21, 2016"
Griffin School District,3330,34324,113,5390,5385,5414,5446,5495,5578,5625,5689,5748,5787,5791,5825,5873,5904,5980,6050,6162,401,7.45%,371,6.4%,"September 21, 2016"
Harrington School District,3360,22204,101,737,744,739,727,736,737,740,744,748,745,739,735,738,738,735,736,725,2,0.23%,-14,,"September 21, 2016"
Highland School District,3510,39203,105,5455,5461,5440,5482,5497,5509,5535,5561,5589,5607,5610,5647,5671,5734,5775,5799,5789,155,2.84%,179,3.19%,"September 21, 2016"
Highline School District,3540,17401,121,122088,122259,122679,122312,122100,121997,122967,123638,123918,124071,124481,124509,125037,126012,127506,128394,130464,2393,1.96%,5983,4.81%,"September 21, 2016"
Hockinson School District,3570,6098,112,7685,7776,7968,8097,8268,8395,8541,8640,8708,8740,8710,8985,9036,9067,9143,9306,9538,1025,13.34%,828,9.5%,"September 21, 2016"
Hood Canal School District,3600,23404,113,4826,4880,4976,5070,5192,5337,5479,5657,5798,5865,5908,5970,6015,6076,6111,6177,6180,1082,22.41%,272,4.61%,"September 21, 2016"
Hoquiam School District,3660,14028,113,11271,11382,11326,11221,11183,11163,11146,11081,10986,10894,10797,10735,10741,10692,10701,10646,10627,-474,(  4.209%),-170,,"September 21, 2016"
Inchelium School District,2,10070,101,1170,1181,1186,1188,1181,1186,1194,1196,1201,1205,1202,1209,1216,1212,1211,1219,1211,32,2.73%,9,0.75%,"September 21, 2016"
Index School District,3720,31063,189,511,513,515,517,517,520,524,528,529,527,526,528,533,536,539,529,541,15,2.94%,15,2.84%,"September 21, 2016"
Issaquah School District,3750,17411,121,73005,75528,78208,80377,82627,84937,88000,90872,93466,95963,98660,99624,100863,102966,105379,106490,108602,25655,35.14%,9942,10.08%,"September 21, 2016"
Kahlotus School District,3780,11056,123,452,430,416,409,409,410,410,405,397,390,384,381,385,393,378,381,386,-68,( 15.050%),2,0.61%,"September 21, 2016"
Kalama School District,3810,8402,112,4761,4930,5080,5242,5390,5557,5744,5924,6097,6238,6354,6419,6474,6522,6582,6655,6779,1593,33.47%,425,6.69%,"September 21, 2016"
Keller School District,3870,10003,101,470,477,481,483,483,487,492,495,499,502,503,505,506,503,502,504,501,33,6.92%,-2,,"September 21, 2016"
Kelso School District,3,8458,112,26130,26418,26604,26853,27032,27304,27672,28001,28297,28445,28482,28555,28579,28659,28715,28754,28799,2352,9.00%,317,1.11%,"September 21, 2016"
Kennewick School District,3930,3017,123,68439,69923,71517,73410,75448,77231,78799,80304,81644,83617,85577,86572,87221,88733,90248,91253,92384,17138,25.04%,6807,7.96%,"September 21, 2016"
Kent School District,3960,17415,121,138061,140000,142226,143533,145007,146600,149487,152028,154094,156001,158233,158526,159746,161772,163501,164934,167103,20172,14.61%,8870,5.61%,"September 21, 2016"
Kettle Falls School District,3990,33212,101,5144,5165,5183,5207,5227,5264,5314,5343,5387,5399,5385,5383,5407,5419,5445,5463,5468,241,4.69%,83,1.54%,"September 21, 2016"
Kiona-Benton School District,4020,3052,123,7605,7660,7728,7828,7943,8030,8095,8154,8197,8303,8408,8593,8810,8831,8907,8933,8983,803,10.55%,575,6.83%,"September 21, 2016"
Kittitas School District,4050,19403,105,2845,2913,2979,3080,3210,3305,3367,3468,3573,3639,3673,3744,3772,3804,3831,3836,3880,828,29.09%,207,5.65%,"September 21, 2016"
Klickitat School District,4080,20402,112,682,673,663,654,647,637,632,623,614,603,592,594,595,594,590,587,594,-90,( 13.208%),2,0.42%,"September 21, 2016"
La Center School District,4170,6101,112,6733,6870,7097,7268,7478,7649,7837,7983,8098,8181,8204,8287,8333,8403,8487,8636,8770,1471,21.85%,566,6.9%,"September 21, 2016"
La Conner School District,4110,29311,189,4145,4195,4259,4289,4363,4421,4506,4576,4637,4683,4694,4694,4708,4711,4748,4783,4873,549,13.24%,179,3.82%,"September 21, 2016"
LaCrosse School District,4150,38126,101,788,766,757,738,734,730,718,700,703,685,680,677,677,677,682,683,689,-108,( 13.706%),9,1.28%,"September 21, 2016"
Lake Chelan School District,1200,4129,171,6809,6809,6830,6817,6841,6909,6979,7041,7118,7134,7135,7213,7295,7373,7491,7620,7807,326,4.79%,672,9.42%,"September 21, 2016"
Lake Quinault School District,7050,14097,113,1283,1292,1281,1265,1256,1250,1243,1232,1217,1202,1187,1193,1191,1190,1191,1171,1153,-96,(  7.507%),-34,,"September 21, 2016"
Lake Stevens School District,4200,31004,189,29888,30952,31997,33003,33914,35021,36248,37394,38368,39151,39977,40248,40729,41416,41921,43048,44284,10089,33.76%,4307,10.78%,"September 21, 2016"
Lake Washington School District,4230,17414,121,154876,157048,159542,161005,162656,164441,167676,170524,172839,174976,177476,179358,180777,182143,186375,189257,192333,22600,14.59%,14857,8.37%,"September 21, 2016"
Lakewood School District,4260,31306,189,11723,11965,12199,12418,12601,12857,13156,13424,13631,13770,13926,13934,14003,14021,14093,14633,15045,2203,18.79%,1119,8.04%,"September 21, 2016"
Lamont School District,4290,38264,101,219,212,208,201,199,196,192,186,185,179,176,186,185,186,186,185,187,-43,( 19.742%),11,6.31%,"September 21, 2016"
Liberty School District,4380,32362,101,3620,3701,3786,3821,3882,3973,4083,4183,4274,4363,4440,4451,4509,4540,4580,4574,4571,820,22.64%,131,2.95%,"September 21, 2016"
Lind School District,4410,1158,101,1151,1157,1160,1159,1174,1172,1164,1170,1175,1177,1185,1188,1198,1212,1211,1204,1190,34,2.94%,5,0.46%,"September 21, 2016"
Longview Public Schools,4470,8122,112,43496,43770,43877,44087,44181,44430,44833,45170,45454,45499,45370,45429,45529,45583,45679,45812,45937,1874,4.31%,567,1.25%,"September 21, 2016"
Loon Lake School District,4500,33183,101,1491,1510,1530,1551,1574,1600,1631,1655,1684,1701,1710,1726,1736,1757,1778,1777,1793,219,14.66%,83,4.87%,"September 21, 2016"
Lopez School District,4530,28144,189,2298,2342,2375,2383,2400,2430,2453,2461,2476,2484,2480,2508,2528,2533,2552,2564,2580,182,7.90%,100,4.05%,"September 21, 2016"
Lyle School District,4590,20406,112,2814,2815,2809,2806,2816,2813,2829,2830,2828,2817,2809,2834,2833,2868,2898,2899,2936,-5,(  0.177%),127,4.52%,"September 21, 2016"
Lynden School District,4620,37504,189,15611,15956,16217,16338,16693,17089,17522,17963,18143,18294,18386,18465,18757,19168,19389,19613,19964,2775,17.78%,1578,8.58%,"September 21, 2016"
Mabton School District,4650,39120,105,3218,3246,3258,3307,3341,3372,3412,3452,3494,3529,3555,3573,3595,3614,3633,3632,3624,337,10.47%,69,1.95%,"September 21, 2016"
Mansfield School District,4710,9207,171,504,498,489,490,486,485,490,493,496,498,495,498,505,507,508,509,520,-9,(  1.801%),25,5%,"September 21, 2016"
Manson School District,4740,4019,171,3060,3098,3147,3177,3225,3294,3363,3430,3504,3546,3583,3602,3668,3729,3781,3866,3964,523,17.08%,381,10.64%,"September 21, 2016"
Mary M. Knight School District,4800,23311,113,1260,1266,1280,1293,1313,1339,1363,1396,1419,1426,1428,1407,1415,1426,1435,1442,1438,168,13.35%,10,0.69%,"September 21, 2016"
Mary Walker School District,4830,33207,101,2747,2787,2829,2875,2922,2976,3038,3088,3147,3184,3206,3224,3232,3248,3246,3261,3273,459,16.70%,67,2.09%,"September 21, 2016"
Marysville School District,4860,31025,189,57398,58680,59924,61094,62090,63443,65010,66425,67535,68310,69169,69668,70378,70982,71454,72783,73415,11771,20.51%,4246,6.14%,"September 21, 2016"
McCleary School District,4890,14065,113,2629,2705,2742,2767,2808,2854,2902,2937,2964,2990,3015,3019,3018,3020,3029,3037,3024,386,14.69%,9,0.29%,"September 21, 2016"
Mead School District,4920,32354,101,39979,41060,42183,42759,43614,44802,46217,47511,48703,49882,50919,51025,51282,51577,52302,52727,53242,10940,27.36%,2323,4.56%,"September 21, 2016"
Medical Lake School District,4950,32326,101,11280,11272,11277,11138,11077,11101,11179,11225,11245,11260,11244,11058,11069,11177,11220,11128,11064,-36,(  0.315%),-180,,"September 21, 2016"
Mercer Island School District,4980,17400,121,22037,22091,22190,22146,22130,22134,22333,22478,22551,22602,22699,22710,22690,22720,23310,23480,23660,662,3.01%,961,4.23%,"September 21, 2016"
Meridian School District,5010,37505,189,7859,8085,8269,8381,8612,8866,9140,9418,9559,9685,9779,9844,9915,10025,10130,10272,10414,1920,24.43%,635,6.49%,"September 21, 2016"
Methow Valley School District,5020,24350,171,4668,4737,4795,4832,4890,4940,5025,5034,5090,5174,5230,5295,5376,5416,5510,5580,5583,562,12.03%,353,6.76%,"September 21, 2016"
Mill A School District,5040,30031,112,548,538,531,522,518,517,517,510,500,491,482,484,483,483,482,482,484,-66,( 11.987%),2,0.43%,"September 21, 2016"
Monroe School District,5130,31103,189,32211,32809,33385,33921,34360,34996,35750,36419,36921,37240,37606,37668,37760,37937,38337,38747,39544,5395,16.75%,1938,5.15%,"September 21, 2016"
Montesano School District,5160,14066,113,7368,7540,7603,7633,7707,7795,7886,7941,7975,8011,8042,8077,8087,8102,8072,8045,7993,674,9.15%,-49,,"September 21, 2016"
Morton School District,5190,21214,113,2676,2686,2694,2686,2692,2699,2728,2745,2757,2755,2742,2762,2765,2762,2769,2787,2802,66,2.47%,60,2.2%,"September 21, 2016"
Moses Lake School District,5220,13161,171,32323,32952,33512,33856,34607,35208,36041,36991,38084,38949,39664,39989,40470,40849,41458,42167,42491,7341,22.71%,2827,7.13%,"September 21, 2016"
Mossyrock School District,5250,21206,113,3530,3581,3629,3655,3701,3748,3825,3888,3941,3976,3994,4046,4080,4093,4105,4124,4137,464,13.16%,143,3.57%,"September 21, 2016"
Mount Adams School District,5280,39209,105,4573,4545,4496,4499,4480,4457,4447,4436,4426,4409,4380,4407,4438,4438,4442,4455,4433,-193,(  4.225%),53,1.21%,"September 21, 2016"
Mount Baker School District,5310,37507,189,11895,12192,12426,12551,12856,13194,13560,13932,14103,14251,14352,14500,14571,14628,14760,14884,15062,2457,20.66%,710,4.95%,"September 21, 2016"
Mount Pleasant School District,5340,30029,112,310,311,313,314,317,323,329,331,331,331,332,332,331,337,336,339,338,22,7.00%,6,1.71%,"September 21, 2016"
Mount Vernon School District,5400,29320,189,31319,31802,32391,32726,33387,33936,34688,35329,35894,36354,36531,36638,36916,37345,37778,38149,38443,5212,16.64%,1912,5.23%,"September 21, 2016"
